At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Gazipur,Dhaka,Grade 10,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,4,8,"BDT 16,000 - 24,000","3,000","3,000","4,000","4,000",Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Patuakhali,Barisal,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000","3,000","3,000","1,800","1,800",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,No,Student ,Female,Dhaka,Dhaka,Grade 10,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,10,"> BDT 45,000",৩০০০৳,"3,000",গনিত-৫০০৳ ইংরেজি-৫০০৳ ,"1,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Habiganj,Sylhet,Grade 10,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,1,"> BDT 45,000","3,000","3,000","3,000","3,000",Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,Strengthen on-line student community,,,,
Village/Sub-district,No,Student ,Male,Noakhali,Chittagong,Grade 10,Upto Grade 10,"Public school, government run",Other,70 to 80,Shared mobile phone outside of the family,5,10,"< BDT 12,000",3000Tk ,"3,000","School 60 tk, private physics chemistry biology 500 and English 500 math 500 ","1,500",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,Yes,Student ,Male,Rangpur,Rangpur,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,8,"BDT 16,000 - 24,000","3,000","3,000",College 1500    Tucson 3500,"3,500",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,Others,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,No,Student ,Male,Naogaon,Rajshahi,Grade 07,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,5,"< BDT 12,000","3,000","3,000",900,900,Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
Village/Sub-district,No,Student ,Male,Panchagarh,Rangpur,Grade 07,PhD,Private school,Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,3,10,"BDT 12,000 - 16,000","3,000","3,000","1,000","1,000",Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
District City,Yes,Student ,Female,Sherpur,Mymensingh,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"< BDT 12,000","3,000","3,000","3,000","3,000",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
District City,Yes,Student ,Male,Sirajganj,Rajshahi,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,4,8,"BDT 12,000 - 16,000","3,000","3,000","3,000","3,000",Content quality,Quality of teachers,Cheaper cost of access,Others,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Noakhali,Chittagong,Grade 12,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,5,"< BDT 12,000","3,000","3,000","1,000","1,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,No,Student ,Female,Dhaka,Dhaka,Grade 06,Upto Grade 10,Private school,Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,9,"< BDT 12,000",pray 3000taka,"3,000",1500taka,"1,500",Online community of learners,,,,,,The student feels more effective/efficient in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
Village/Sub-district,Yes,Student ,Male,Bogura,Rajshahi,Grade 09,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,Below 60,Shared mobile phone within the family,2,5,"BDT 12,000 - 16,000","3,000","3,000","2,000","2,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
District City,Yes,Student ,Female,Munshiganj,Dhaka,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 24,000 - 45,000","3,000","3,000",পড়াশোনা -৪০০০ যাতায়াত -৩০০০,"4,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Lower cost,,,,
Village/Sub-district,Yes,Student ,Female,Moulvibazar,Sylhet,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,10,"BDT 16,000 - 24,000","3,000","3,000","3,000","3,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,3,10,"> BDT 45,000","3,000","3,000","10,000","10,000","Convenience, no need to travel",,,,,,No improvement was seen,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Barisal,Barisal,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,4,10,"> BDT 45,000","3,000","3,000","5,000","5,000",Others,,,,,,No improvement was seen,,,,,,More options for student tutoring/support,Lower cost,,,,
Divisional City/City Corporation,No,Student ,Female,Dhaka,Dhaka,Grade 10,Up to Masters,Private school,Self-pay/Sourced from Family,Below 60,Shared mobile phone within the family,5,10,"> BDT 45,000","3,000","3,000","8,000","8,000","Convenience, no need to travel",,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,,,,,
Divisional City/City Corporation,No,Student ,Female,Rajshahi,Rajshahi,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,6,"BDT 12,000 - 16,000","3,000","3,000","হিসাববিজ্ঞান =800, ফিন‍্যান্স=700, ইংরেজি =700, Ict=500","2,700",Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,,
District City,No,Student ,Female,Feni,Chittagong,Grade 10,Up to University (Bachelor's),Private school,Other,70 to 80,Shared mobile phone within the family,5,10,"< BDT 12,000","3,000","3,000","5,000","5,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
District City,No,Student ,Female,Munshiganj,Dhaka,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,4,"< BDT 12,000",৩ হাজার,"3,000",৫ হাজার,"5,000",Others,,,,,,The student feels more effective/efficient in their studies.,No improvement was seen,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Female,Chittagong,Chittagong,Grade 09,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,5,9,"BDT 24,000 - 45,000","3,000","3,000","2,200","2,200",Travel restriction to in-person centers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
Village/Sub-district,No,Student ,Male,Cumilla,Chittagong,Grade 09,Up to Grade 12,Private school,Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,9,"BDT 12,000 - 16,000","3,000","3,000",0,0,Content quality,Quality of teachers,Online community of learners,Cheaper cost of access,,,The student feels more effective/efficient in their studies.,,,,,,Strengthen on-line student community,,,,,
Village/Sub-district,No,Student ,Male,Narayanganj,Dhaka,Grade 10,Up to Grade 12,"Public school, government run",Grant (financial aid from school or govenrment),80 to 100 ,Shared mobile phone within the family,5,10,"> BDT 45,000","3,000","3,000",Kochin 3000 taka,"3,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,No,Student ,Female,Mymensingh,Mymensingh,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"< BDT 12,000","3,000","3,000",কোনো টিউশন ক্লাস করি না।,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More options for student tutoring/support,Strengthen on-line student community,,,,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 09,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,8,"> BDT 45,000","3,000","3,000",Physics:1000 Chemistry and Biology:1500,"2,500",Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,,,,
